There are 51040 points in the circle, out of a total of 65536 points in the square.
The best possible approximation for pi is 3.11523

p: 600239       q: 600983       n = p*q: 360733434937   seed: 430521001

k: 0	s: 430521001	 aceCnt: 1	 succ: 0	  approx: nan	 aceCnt2: 1	 succ2: 0	  approx2: nan
k: 860000000	s: 321365614215	 aceCnt: 430011216	 succ: 41862173	  approx: 3.11532	 aceCnt2: 429972520	 succ2: 41864578	  approx2: 3.1155
k: 870000000	s: 282953151072	 aceCnt: 435010641	 succ: 42349038	  approx: 3.11533	 aceCnt2: 434972147	 succ2: 42351160	  approx2: 3.11549
k: 880000000	s: 295940670209	 aceCnt: 440011983	 succ: 42835744	  approx: 3.11533	 aceCnt2: 439971294	 succ2: 42837951	  approx2: 3.11549
k: 890000000	s: 196047239031	 aceCnt: 445010395	 succ: 43322804	  approx: 3.11535	 aceCnt2: 444969981	 succ2: 43325042	  approx2: 3.11551
k: 900000000	s: 331240781055	 aceCnt: 450008676	 succ: 43809502	  approx: 3.11534	 aceCnt2: 449968703	 succ2: 43811528	  approx2: 3.11549
k: 910000000	s: 236927084972	 aceCnt: 455009849	 succ: 44295877	  approx: 3.11531	 aceCnt2: 454968197	 succ2: 44297974	  approx2: 3.11546
k: 920000000	s: 260035427081	 aceCnt: 460008891	 succ: 44782326	  approx: 3.11529	 aceCnt2: 459968713	 succ2: 44784930	  approx2: 3.11547
k: 930000000	s: 219371221408	 aceCnt: 465006416	 succ: 45269131	  approx: 3.1153	 aceCnt2: 464969008	 succ2: 45272264	  approx2: 3.11551
k: 940000000	s: 32166992172	 aceCnt: 470004596	 succ: 45755783	  approx: 3.11529	 aceCnt2: 469969533	 succ2: 45758741	  approx2: 3.11549
k: 950000000	s: 301174725329	 aceCnt: 475004764	 succ: 46242597	  approx: 3.11529	 aceCnt2: 474967507	 succ2: 46245199	  approx2: 3.11547
k: 960000000	s: 157375599237	 aceCnt: 480001330	 succ: 46729558	  approx: 3.1153	 aceCnt2: 479967239	 succ2: 46732061	  approx2: 3.11547
k: 970000000	s: 139872178444	 aceCnt: 484999757	 succ: 47215529	  approx: 3.11525	 aceCnt2: 484965687	 succ2: 47218490	  approx2: 3.11545
k: 980000000	s: 150553128964	 aceCnt: 489997970	 succ: 47702471	  approx: 3.11526	 aceCnt2: 489964805	 succ2: 47704558	  approx2: 3.1154
k: 990000000	s: 87825130811	 aceCnt: 494995321	 succ: 48189819	  approx: 3.1153	 aceCnt2: 494963998	 succ2: 48191671	  approx2: 3.11542
k: 1000000000	s: 79294811374	 aceCnt: 499996376	 succ: 48676196	  approx: 3.11528	 aceCnt2: 499963989	 succ2: 48678483	  approx2: 3.11542
k: 1010000000	s: 269824026446	 aceCnt: 504996929	 succ: 49163176	  approx: 3.11529	 aceCnt2: 504964333	 succ2: 49164776	  approx2: 3.11539
k: 1020000000	s: 186514396684	 aceCnt: 509998691	 succ: 49649833	  approx: 3.11528	 aceCnt2: 509961712	 succ2: 49651316	  approx2: 3.11538
k: 1030000000	s: 304191212899	 aceCnt: 515000283	 succ: 50136885	  approx: 3.1153	 aceCnt2: 514959064	 succ2: 50138228	  approx2: 3.11539
k: 1040000000	s: 35174135839	 aceCnt: 519998583	 succ: 50623908	  approx: 3.11532	 aceCnt2: 519958508	 succ2: 50625040	  approx2: 3.11539
k: 1050000000	s: 83071198759	 aceCnt: 525000412	 succ: 51110908	  approx: 3.11533	 aceCnt2: 524955600	 succ2: 51111818	  approx2: 3.11539
k: 1060000000	s: 251082759762	 aceCnt: 529998676	 succ: 51597820	  approx: 3.11534	 aceCnt2: 529956283	 succ2: 51598433	  approx2: 3.11538
k: 1070000000	s: 85231293532	 aceCnt: 534997999	 succ: 52084243	  approx: 3.11532	 aceCnt2: 534953845	 succ2: 52085564	  approx2: 3.1154
k: 1080000000	s: 243486331365	 aceCnt: 539996654	 succ: 52570823	  approx: 3.11531	 aceCnt2: 539956724	 succ2: 52573076	  approx2: 3.11544
k: 1090000000	s: 224276935024	 aceCnt: 544997182	 succ: 53057741	  approx: 3.11532	 aceCnt2: 544956682	 succ2: 53059376	  approx2: 3.11541
k: 1100000000	s: 263060454425	 aceCnt: 549994157	 succ: 53544298	  approx: 3.1153	 aceCnt2: 549956243	 succ2: 53546039	  approx2: 3.11541
k: 1110000000	s: 40043241491	 aceCnt: 554994088	 succ: 54030750	  approx: 3.11529	 aceCnt2: 554957562	 succ2: 54032762	  approx2: 3.1154
k: 1120000000	s: 145501619347	 aceCnt: 559991400	 succ: 54517334	  approx: 3.11528	 aceCnt2: 559959248	 succ2: 54519506	  approx2: 3.1154
k: 1130000000	s: 287656639200	 aceCnt: 564992350	 succ: 55003969	  approx: 3.11527	 aceCnt2: 564959617	 succ2: 55006167	  approx2: 3.11539
k: 1140000000	s: 253655253635	 aceCnt: 569994333	 succ: 55490765	  approx: 3.11527	 aceCnt2: 569959321	 succ2: 55493597	  approx2: 3.11543
k: 1150000000	s: 90255570823	 aceCnt: 574995416	 succ: 55977525	  approx: 3.11527	 aceCnt2: 574959545	 succ2: 55979919	  approx2: 3.1154
k: 1160000000	s: 136162840618	 aceCnt: 579998183	 succ: 56463909	  approx: 3.11525	 aceCnt2: 579957041	 succ2: 56466915	  approx2: 3.11542
k: 1170000000	s: 95645717767	 aceCnt: 584997622	 succ: 56950301	  approx: 3.11523	 aceCnt2: 584957679	 succ2: 56953689	  approx2: 3.11542
k: 1180000000	s: 233909823120	 aceCnt: 589996538	 succ: 57437195	  approx: 3.11524	 aceCnt2: 589958865	 succ2: 57439736	  approx2: 3.11538
k: 1190000000	s: 194069963088	 aceCnt: 594995547	 succ: 57924003	  approx: 3.11524	 aceCnt2: 594958427	 succ2: 57926378	  approx2: 3.11537
k: 1200000000	s: 152621938340	 aceCnt: 599996177	 succ: 58410765	  approx: 3.11524	 aceCnt2: 599958529	 succ2: 58413258	  approx2: 3.11537
k: 1210000000	s: 128735546730	 aceCnt: 604996796	 succ: 58897318	  approx: 3.11523	 aceCnt2: 604960048	 succ2: 58900126	  approx2: 3.11538
k: 1220000000	s: 124083408510	 aceCnt: 609997025	 succ: 59384054	  approx: 3.11523	 aceCnt2: 609959898	 succ2: 59386353	  approx2: 3.11535
k: 1230000000	s: 114757209911	 aceCnt: 614997214	 succ: 59870842	  approx: 3.11523	 aceCnt2: 614958800	 succ2: 59873223	  approx2: 3.11535
k: 1240000000	s: 283851928109	 aceCnt: 619997778	 succ: 60358005	  approx: 3.11525	 aceCnt2: 619956471	 succ2: 60360291	  approx2: 3.11537
k: 1250000000	s: 305338640470	 aceCnt: 624998245	 succ: 60844328	  approx: 3.11523	 aceCnt2: 624954580	 succ2: 60847257	  approx2: 3.11538
k: 1260000000	s: 325541130791	 aceCnt: 629996782	 succ: 61330902	  approx: 3.11522	 aceCnt2: 629956365	 succ2: 61333999	  approx2: 3.11538
k: 1270000000	s: 344155924303	 aceCnt: 634993766	 succ: 61817715	  approx: 3.11522	 aceCnt2: 634958860	 succ2: 61820318	  approx2: 3.11535
k: 1280000000	s: 6913175264	 aceCnt: 639992468	 succ: 62303602	  approx: 3.11518	 aceCnt2: 639959675	 succ2: 62307011	  approx2: 3.11535
k: 1290000000	s: 185091515049	 aceCnt: 644990718	 succ: 62790316	  approx: 3.11518	 aceCnt2: 644962416	 succ2: 62793316	  approx2: 3.11533
k: 1300000000	s: 332805646401	 aceCnt: 649991683	 succ: 63276992	  approx: 3.11517	 aceCnt2: 649962715	 succ2: 63280628	  approx2: 3.11535
k: 1310000000	s: 68199429869	 aceCnt: 654992894	 succ: 63763356	  approx: 3.11516	 aceCnt2: 654960488	 succ2: 63766823	  approx2: 3.11533
k: 1320000000	s: 301110612815	 aceCnt: 659994387	 succ: 64249450	  approx: 3.11512	 aceCnt2: 659961715	 succ2: 64253333	  approx2: 3.11531
k: 1330000000	s: 65054789603	 aceCnt: 664995912	 succ: 64735956	  approx: 3.11511	 aceCnt2: 664961823	 succ2: 64739814	  approx2: 3.1153
k: 1340000000	s: 161016215984	 aceCnt: 669997173	 succ: 65222742	  approx: 3.11512	 aceCnt2: 669962215	 succ2: 65226541	  approx2: 3.1153
k: 1350000000	s: 230762728794	 aceCnt: 674998863	 succ: 65709627	  approx: 3.11512	 aceCnt2: 674964201	 succ2: 65713018	  approx2: 3.11528
k: 1360000000	s: 349333307166	 aceCnt: 679997805	 succ: 66196701	  approx: 3.11514	 aceCnt2: 679960856	 succ2: 66199403	  approx2: 3.11527
k: 1370000000	s: 245102759127	 aceCnt: 684995795	 succ: 66683973	  approx: 3.11516	 aceCnt2: 684958880	 succ2: 66685943	  approx2: 3.11526
